rule_name,rule_label,fill_mode,horizon_days,signal_date,signal_time,entry_date,entry_price,exit_date,exit_price,return_pct,mae_pct,max_drawdown_pct,strategy_trade_no
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20260122,20260122130500,20260122,4.711,20260128,4.734,0.004882,-0.006793,-0.017017,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20260202,20260202130500,20260202,4.655,20260206,4.67,0.003222,-0.015038,-0.028396,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20260320,20260320143000,20260320,4.599,20260326,4.5175,-0.017721,-0.042183,-0.049622,9
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20260331,20260331130500,20260331,4.487,20260407,4.458,-0.006463,-0.01248,-0.024439,10
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20250527,20250527130500,20250527,3.737,20250610,3.7775,0.010838,-0.004282,-0.013688,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20250801,20250801130500,20250801,4.017,20250814,4.1565,0.034727,-0.005726,-0.013158,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20251020,20251020140500,20251020,4.514,20251031,4.668,0.034116,-0.00288,-0.025047,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20251118,20251118131500,20251118,4.562,20251201,4.5645,0.000548,-0.033319,-0.042553,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20251216,20251216130500,20251216,4.49,20251229,4.6555,0.03686,-0.002673,-0.021559,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20260122,20260122130500,20260122,4.711,20260204,4.708,-0.000637,-0.026746,-0.040594,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20260320,20260320143000,20260320,4.599,20260402,4.5075,-0.019896,-0.042183,-0.049622,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20260403,20260403130500,20260403,4.457,20260417,4.7445,0.064505,-0.005834,-0.018897,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20250527,20250527130500,20250527,3.737,20250624,3.82,0.02221,-0.004282,-0.019407,1
