rule_name,rule_label,fill_mode,horizon_days,signal_idx,entry_idx,exit_idx,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,mae_pct,mfe_pct,max_drawdown_pct,pre_drawdown_from_high_10,pre_close_vs_ma10,pre_rsi6,day_close_in_range,day_return,m5_low_pos_ratio,m5_volume_ratio_after_low,pre_close_vs_ma5
stat_core,统计核心规则,research_midpoint,10,189,189,198,20260202,20260202,4.5955,20260213,4.6925,0.021108,-0.002285,0.031226,-0.028396,-0.028667,-0.002942,44.594595,0.070312,-0.023562,0.978723,-0.067215,
stat_core,统计核心规则,research_midpoint,20,189,189,208,20260202,20260202,4.5955,20260309,4.6335,0.008269,-0.007725,0.039713,-0.045626,-0.028667,-0.002942,44.594595,0.070312,-0.023562,0.978723,-0.067215,
stat_core,统计核心规则,next_open,3,189,190,192,20260202,20260203,4.64,20260205,4.687,0.010129,-0.011853,0.014871,-0.017781,-0.028667,-0.002942,44.594595,0.070312,-0.023562,0.978723,-0.067215,
stat_core,统计核心规则,next_open,5,189,190,194,20260202,20260203,4.64,20260209,4.7285,0.019073,-0.011853,0.019397,-0.021024,-0.028667,-0.002942,44.594595,0.070312,-0.023562,0.978723,-0.067215,
stat_core,统计核心规则,next_open,10,189,190,199,20260202,20260203,4.64,20260224,4.726,0.018534,-0.011853,0.021336,-0.021024,-0.028667,-0.002942,44.594595,0.070312,-0.023562,0.978723,-0.067215,
stat_core,统计核心规则,next_open,20,189,190,209,20260202,20260203,4.64,20260310,4.686,0.009914,-0.017241,0.029741,-0.045626,-0.028667,-0.002942,44.594595,0.070312,-0.023562,0.978723,-0.067215,
stat_core,统计核心规则,research_midpoint,3,217,217,219,20260320,20260320,4.5745,20260324,4.4795,-0.020767,-0.037053,0.013225,-0.049622,-0.031706,-0.014106,12.666667,0.048387,-0.005001,1.0,0.0,
stat_core,统计核心规则,research_midpoint,5,217,217,221,20260320,20260320,4.5745,20260326,4.5175,-0.01246,-0.037053,0.013225,-0.049622,-0.031706,-0.014106,12.666667,0.048387,-0.005001,1.0,0.0,
stat_core,统计核心规则,research_midpoint,10,217,217,226,20260320,20260320,4.5745,20260402,4.5075,-0.014646,-0.037053,0.013225,-0.049622,-0.031706,-0.014106,12.666667,0.048387,-0.005001,1.0,0.0,
stat_core,统计核心规则,research_midpoint,20,217,217,236,20260320,20260320,4.5745,20260417,4.7445,0.037163,-0.037053,0.038365,-0.049622,-0.031706,-0.014106,12.666667,0.048387,-0.005001,1.0,0.0,
stat_core,统计核心规则,next_open,3,217,218,220,20260320,20260323,4.528,20260325,4.5465,0.004086,-0.027164,0.004638,-0.029094,-0.031706,-0.014106,12.666667,0.048387,-0.005001,1.0,0.0,
stat_core,统计核心规则,next_open,5,217,218,222,20260320,20260323,4.528,20260327,4.519,-0.001988,-0.027164,0.004638,-0.029094,-0.031706,-0.014106,12.666667,0.048387,-0.005001,1.0,0.0,
