rule_name,rule_label,entry_offset_bars,horizon_days,signal_date,signal_time,signal_price,entry_time,entry_date,entry_price,exit_date,exit_price,return_pct,mae_pct,max_drawdown_pct,strategy_trade_no
intraday_weak_low,盘中弱势低位预警,1,3,20260120,20260120130500,4.715,20260120131000,20260120,4.715,20260122,4.7435,0.006045,-0.005726,-0.01326,8
intraday_weak_low,盘中弱势低位预警,1,3,20260123,20260123131500,4.718,20260123132000,20260123,4.718,20260127,4.726,0.001696,-0.008266,-0.017017,9
intraday_weak_low,盘中弱势低位预警,1,3,20260128,20260128132500,4.718,20260128133000,20260128,4.719,20260130,4.7345,0.003285,-0.016317,-0.028667,10
intraday_weak_low,盘中弱势低位预警,1,3,20260202,20260202130500,4.655,20260202131000,20260202,4.656,20260204,4.708,0.011168,-0.015249,-0.028396,11
intraday_weak_low,盘中弱势低位预警,1,3,20260320,20260320134000,4.611,20260320134500,20260320,4.611,20260324,4.4795,-0.028519,-0.044676,-0.049622,12
intraday_weak_low,盘中弱势低位预警,1,3,20260326,20260326130500,4.519,20260326131000,20260326,4.518,20260330,4.5025,-0.003431,-0.016158,-0.022432,13
intraday_weak_low,盘中弱势低位预警,1,3,20260331,20260331130500,4.487,20260331131000,20260331,4.487,20260402,4.5075,0.004569,-0.005572,-0.015852,14
intraday_weak_low,盘中弱势低位预警,1,3,20260403,20260403130500,4.457,20260403131000,20260403,4.458,20260408,4.603,0.032526,-0.006057,-0.018897,15
intraday_weak_low,盘中弱势低位预警,1,5,20250527,20250527130500,3.737,20250527131000,20250527,3.737,20250603,3.7535,0.004415,-0.004282,-0.012473,1
intraday_weak_low,盘中弱势低位预警,1,5,20250801,20250801130500,4.017,20250801131000,20250801,4.018,20250807,4.0785,0.015057,-0.005973,-0.011141,2
intraday_weak_low,盘中弱势低位预警,1,5,20251020,20251020140500,4.514,20251020141000,20251020,4.514,20251024,4.648,0.029685,-0.00288,-0.017609,3
intraday_weak_low,盘中弱势低位预警,1,5,20251118,20251118130500,4.566,20251118131000,20251118,4.566,20251124,4.448,-0.025843,-0.034166,-0.042553,4
intraday_weak_low,盘中弱势低位预警,1,5,20251127,20251127135000,4.516,20251127135500,20251127,4.516,20251203,4.5415,0.005647,-0.007972,-0.015601,5
intraday_weak_low,盘中弱势低位预警,1,5,20251216,20251216130500,4.49,20251216131000,20251216,4.49,20251222,4.6095,0.026615,-0.002673,-0.021559,6
intraday_weak_low,盘中弱势低位预警,1,5,20260120,20260120130500,4.715,20260120131000,20260120,4.715,20260126,4.736,0.004454,-0.005938,-0.016163,7
intraday_weak_low,盘中弱势低位预警,1,5,20260127,20260127145500,4.704,20260127150000,20260127,4.703,20260202,4.6595,-0.009249,-0.023815,-0.039339,8
intraday_weak_low,盘中弱势低位预警,1,5,20260204,20260204131500,4.656,20260204132000,20260204,4.656,20260210,4.736,0.017182,-0.00988,-0.021024,9
intraday_weak_low,盘中弱势低位预警,1,5,20260320,20260320134000,4.611,20260320134500,20260320,4.611,20260326,4.5175,-0.020278,-0.044676,-0.049622,10
intraday_weak_low,盘中弱势低位预警,1,5,20260331,20260331130500,4.487,20260331131000,20260331,4.487,20260407,4.458,-0.006463,-0.01248,-0.024439,11
intraday_weak_low,盘中弱势低位预警,1,10,20250527,20250527130500,3.737,20250527131000,20250527,3.737,20250610,3.7775,0.010838,-0.004282,-0.013688,1
intraday_weak_low,盘中弱势低位预警,1,10,20250801,20250801130500,4.017,20250801131000,20250801,4.018,20250814,4.1565,0.03447,-0.005973,-0.013158,2
intraday_weak_low,盘中弱势低位预警,1,10,20251020,20251020140500,4.514,20251020141000,20251020,4.514,20251031,4.668,0.034116,-0.00288,-0.025047,3
intraday_weak_low,盘中弱势低位预警,1,10,20251118,20251118130500,4.566,20251118131000,20251118,4.566,20251201,4.5645,-0.000329,-0.034166,-0.042553,4
intraday_weak_low,盘中弱势低位预警,1,10,20251216,20251216130500,4.49,20251216131000,20251216,4.49,20251229,4.6555,0.03686,-0.002673,-0.021559,5
intraday_weak_low,盘中弱势低位预警,1,10,20260120,20260120130500,4.715,20260120131000,20260120,4.715,20260202,4.6595,-0.011771,-0.026299,-0.039339,6
intraday_weak_low,盘中弱势低位预警,1,10,20260204,20260204131500,4.656,20260204132000,20260204,4.656,20260225,4.764,0.023196,-0.00988,-0.021024,7
intraday_weak_low,盘中弱势低位预警,1,10,20260320,20260320134000,4.611,20260320134500,20260320,4.611,20260402,4.5075,-0.022446,-0.044676,-0.049622,8
intraday_weak_low,盘中弱势低位预警,1,10,20260403,20260403130500,4.457,20260403131000,20260403,4.458,20260417,4.7445,0.064266,-0.006057,-0.018897,9
intraday_weak_low,盘中弱势低位预警,1,20,20250527,20250527130500,3.737,20250527131000,20250527,3.737,20250624,3.82,0.02221,-0.004282,-0.019407,1
intraday_weak_low,盘中弱势低位预警,1,20,20250801,20250801130500,4.017,20250801131000,20250801,4.018,20250828,4.437,0.104281,-0.005973,-0.029807,2
intraday_weak_low,盘中弱势低位预警,1,20,20251020,20251020140500,4.514,20251020141000,20251020,4.514,20251114,4.6455,0.029132,-0.00288,-0.043359,3
intraday_weak_low,盘中弱势低位预警,1,20,20251118,20251118130500,4.566,20251118131000,20251118,4.566,20251215,4.5665,0.00011,-0.034166,-0.044051,4
intraday_weak_low,盘中弱势低位预警,1,20,20251216,20251216130500,4.49,20251216131000,20251216,4.49,20260114,4.7845,0.06559,-0.002673,-0.025609,5
intraday_weak_low,盘中弱势低位预警,1,20,20260120,20260120130500,4.715,20260120131000,20260120,4.715,20260224,4.726,0.002333,-0.027572,-0.040594,6
intraday_weak_low,盘中弱势低位预警,1,20,20260320,20260320134000,4.611,20260320134500,20260320,4.611,20260417,4.7445,0.028953,-0.044676,-0.049622,7
intraday_weak_low,盘中弱势低位预警,2,3,20250527,20250527130500,3.737,20250527131500,20250527,3.74,20250529,3.7615,0.005749,-0.003476,-0.010616,1
intraday_weak_low,盘中弱势低位预警,2,3,20250801,20250801130500,4.017,20250801131500,20250801,4.016,20250805,4.061,0.011205,-0.005478,-0.011141,2
intraday_weak_low,盘中弱势低位预警,2,3,20251020,20251020140500,4.514,20251020141500,20251020,4.51,20251022,4.5785,0.015188,-0.001996,-0.015435,3
intraday_weak_low,盘中弱势低位预警,2,3,20251118,20251118130500,4.566,20251118131500,20251118,4.564,20251120,4.5795,0.003396,-0.005039,-0.012158,4
intraday_weak_low,盘中弱势低位预警,2,3,20251121,20251121130500,4.477,20251121131500,20251121,4.474,20251125,4.487,0.002906,-0.014305,-0.026705,5
