rule_name,rule_label,trade_date,signal_time,pre_drawdown_from_high_10,pre_close_vs_ma10,pre_rsi6,signal_bar_pos,signal_price,signal_low_so_far,est_day_return,est_day_close_in_range,m5_low_pos,m5_low_pos_ratio,m5_current_pos_ratio,m5_volume_ratio_after_low
intraday_weak_low,盘中弱势低位预警,20251120,20251120133000,-0.031057,-0.013118,32.8125,29.0,4.584,4.572,0.002186,0.352941,18.0,0.382979,0.617021,-0.64846
intraday_weak_low,盘中弱势低位预警,20251121,20251121130500,-0.032121,-0.014907,28.909953,24.0,4.477,4.446,-0.016692,0.364706,16.0,0.340426,0.510638,-0.311174
intraday_weak_low,盘中弱势低位预警,20251124,20251124130500,-0.055733,-0.034313,5.072464,24.0,4.421,4.41,-0.004503,0.211538,23.0,0.489362,0.510638,-0.504923
intraday_weak_low,盘中弱势低位预警,20251127,20251127135000,-0.047101,-0.00887,37.219731,33.0,4.516,4.505,0.002887,0.23913,0.0,0.0,0.702128,-0.491924
intraday_weak_low,盘中弱势低位预警,20251216,20251216130500,-0.044051,-0.003662,39.735099,24.0,4.49,4.48,-0.011884,0.15625,17.0,0.361702,0.510638,-0.731198
intraday_weak_low,盘中弱势低位预警,20260120,20260120130500,-0.025609,-0.004789,38.235294,24.0,4.715,4.688,-0.004854,0.428571,10.0,0.212766,0.510638,-0.735271
intraday_weak_low,盘中弱势低位预警,20260121,20260121142000,-0.031805,-0.006227,12.5,39.0,4.728,4.709,0.000847,0.345455,0.0,0.0,0.829787,0.823052
intraday_weak_low,盘中弱势低位预警,20260122,20260122130500,-0.027468,-0.003959,22.077922,24.0,4.711,4.703,-0.004017,0.140351,23.0,0.489362,0.510638,-0.862056
intraday_weak_low,盘中弱势低位预警,20260123,20260123131500,-0.028707,-0.004318,34.0,26.0,4.718,4.7,-0.001904,0.428571,12.0,0.255319,0.553191,-0.114993
intraday_weak_low,盘中弱势低位预警,20260126,20260126131500,-0.032012,-0.007951,12.5,26.0,4.717,4.694,0.002764,0.348485,5.0,0.106383,0.553191,-0.55019
intraday_weak_low,盘中弱势低位预警,20260127,20260127145500,-0.030566,-0.004626,28.571429,46.0,4.704,4.679,-0.001698,0.396825,6.0,0.12766,0.978723,1.093233
intraday_weak_low,盘中弱势低位预警,20260128,20260128132500,-0.03046,-0.003723,25.0,28.0,4.718,4.704,0.001699,0.358974,16.0,0.340426,0.595745,-0.751161
intraday_weak_low,盘中弱势低位预警,20260202,20260202130500,-0.028667,-0.002942,44.594595,24.0,4.655,4.647,-0.011887,0.111111,24.0,0.510638,0.510638,-1.0
intraday_weak_low,盘中弱势低位预警,20260204,20260204131500,-0.040594,-0.008735,41.780822,26.0,4.656,4.643,-0.001715,0.448276,0.0,0.0,0.553191,-0.387361
intraday_weak_low,盘中弱势低位预警,20260320,20260320134000,-0.031706,-0.014106,12.666667,31.0,4.611,4.598,0.002609,0.351351,0.0,0.0,0.659574,-0.810256
intraday_weak_low,盘中弱势低位预警,20260323,20260323130500,-0.033397,-0.017119,12.179487,24.0,4.488,4.468,-0.019231,0.289855,23.0,0.489362,0.510638,0.021183
intraday_weak_low,盘中弱势低位预警,20260324,20260324131000,-0.068696,-0.044394,6.666667,25.0,4.431,4.405,0.000226,0.412698,9.0,0.191489,0.531915,-0.480152
intraday_weak_low,盘中弱势低位预警,20260326,20260326130500,-0.047981,-0.011895,35.911602,24.0,4.519,4.517,-0.005502,0.066667,24.0,0.510638,0.510638,-1.0
intraday_weak_low,盘中弱势低位预警,20260331,20260331130500,-0.058761,-0.009509,38.953488,24.0,4.487,4.471,-0.002889,0.275862,23.0,0.489362,0.510638,-0.4671
intraday_weak_low,盘中弱势低位预警,20260403,20260403130500,-0.035599,-0.002688,38.396624,24.0,4.457,4.457,-0.007129,0.0,24.0,0.510638,0.510638,-1.0
intraday_weak_volume_repair,盘中弱势低位-量能修复,20250527,20250527131000,-0.028534,-0.009128,38.297872,25.0,3.74,3.729,-0.00426,0.37931,23.0,0.489362,0.531915,-0.052107
intraday_weak_volume_repair,盘中弱势低位-量能修复,20250801,20250801131000,-0.029696,-0.009896,36.25,25.0,4.017,4.015,-0.00372,0.083333,24.0,0.510638,0.531915,-0.254238
