trade_date,stock,open,close,cash,shares,market_value,total_equity,ma_short,ma_long,rsi,volume,volume_ma,pullback_ok,pullback_score,pullback_labels,intraday_confirmed,intraday_score,intraday_labels,intraday_rebound_from_low,intraday_close_in_range,intraday_hold_from_low,executed_action,executed_reason,next_signal,next_signal_reason
20250813,510300.SH,4.111,4.14,31.2,24800,102672.0,102703.2,4.0908,4.0663,89.2157,7588408,5773015.8,False,0,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位,True,5,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.008281,0.790698,0.004871,hold,,prepare_sell,持有天数达到上限
20250814,510300.SH,4.142,4.133,102752.8,0,0.0,102752.8,4.1034,4.074,81.6327,8879344,6480953.4,False,1,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位,False,1,低点出现得不算太晚 | 盘中低点反抽幅度不足 | 收盘位置仍偏弱 | 尾盘反抽不稳 | 当日30m结构未明显转强,0.001939,0.145455,0.001939,sell,持有天数达到上限,watch,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点反抽幅度不足 | 收盘位置仍偏弱
20250815,510300.SH,4.119,4.172,102752.8,0,0.0,102752.8,4.1258,4.0822,87.5,10718339,7778496.4,False,0,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位,True,5,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.013359,0.887097,0.010687,hold,,watch,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部
20250818,510300.SH,4.175,4.204,102752.8,0,0.0,102752.8,4.1508,4.0906,95.5696,10092475,8420687.6,False,0,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位,False,4,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置仍偏弱 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.010091,0.56,0.007929,hold,,watch,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置仍偏弱
20250819,510300.SH,4.203,4.182,102752.8,0,0.0,102752.8,4.1662,4.0959,81.9876,7743324,9004378.0,False,1,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位,False,0,低点出现在尾盘过晚 | 盘中低点反抽幅度不足 | 收盘位置仍偏弱 | 尾盘反抽不稳 | 当日30m结构未明显转强,0.001917,0.16,0.001917,hold,,watch,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现在尾盘过晚 | 盘中低点反抽幅度不足 | 收盘位置仍偏弱
20250820,510300.SH,4.172,4.241,102752.8,0,0.0,102752.8,4.1864,4.1041,85.0515,13784166,10243529.6,False,0,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位,True,5,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.023407,0.989796,0.018581,hold,,watch,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部
20250821,510300.SH,4.245,4.255,102752.8,0,0.0,102752.8,4.2108,4.1117,83.237,9130025,10293665.8,False,0,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位,False,4,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置仍偏弱 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.004723,0.555556,0.004014,hold,,watch,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置仍偏弱
20250822,510300.SH,4.252,4.356,102752.8,0,0.0,102752.8,4.2476,4.1255,91.7603,13602634,10870524.8,False,0,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位,True,5,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.0247,0.954545,0.021407,hold,,watch,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部
20250825,510300.SH,4.378,4.442,102752.8,0,0.0,102752.8,4.2952,4.1431,92.9936,14560918,11764213.4,False,0,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位,True,5,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.015546,0.906667,0.013717,hold,,watch,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部
20250826,510300.SH,4.431,4.418,102752.8,0,0.0,102752.8,4.3424,4.1584,84.9673,11142941,12444136.8,False,0,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位,False,2,低点出现得不算太晚 | 盘中低点反抽幅度不足 | 收盘位置仍偏弱 | 尾盘未重新贴近当日低点 | 当日30m结构未明显转强,0.003179,0.311111,0.003179,hold,,watch,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点反抽幅度不足 | 收盘位置仍偏弱
20250827,510300.SH,4.418,4.352,102752.8,0,0.0,102752.8,4.3646,4.1705,74.2857,14126904,12512684.4,False,3,近3日内至少2根阴线 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位,False,0,低点出现在尾盘过晚 | 盘中低点反抽幅度不足 | 收盘位置仍偏弱 | 尾盘反抽不稳 | 当日30m结构未明显转强,0.00046,0.017857,0.00046,hold,,watch,近3日内至少2根阴线 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现在尾盘过晚 | 盘中低点反抽幅度不足 | 收盘位置仍偏弱
20250828,510300.SH,4.346,4.436,102752.8,0,0.0,102752.8,4.4008,4.1907,76.0,12764157,13239510.8,False,1,近3日内至少2根阴线 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位,True,5,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.024717,0.981651,0.015246,hold,,watch,近3日内至少2根阴线 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部
20250829,510300.SH,4.427,4.478,102752.8,0,0.0,102752.8,4.4252,4.2141,77.6675,13550574,13229098.8,False,0,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位,True,5,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.01381,0.835616,0.011999,hold,,watch,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部
20250901,510300.SH,4.484,4.493,102752.8,0,0.0,102752.8,4.4354,4.2374,71.6088,11939867,12704888.6,False,0,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位,True,5,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.008077,0.818182,0.008077,hold,,watch,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部
20250902,510300.SH,4.49,4.467,102752.8,0,0.0,102752.8,4.4452,4.2577,54.8638,10344122,12545124.8,False,1,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位,False,3,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置仍偏弱 | 尾盘未重新贴近当日低点 | 当日30m结构未明显转强,0.009035,0.430108,0.004518,hold,,watch,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置仍偏弱
20250903,510300.SH,4.469,4.426,102752.8,0,0.0,102752.8,4.46,4.2755,51.4599,9188625,11557469.0,False,3,近3日内至少2根阴线 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位,False,3,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置仍偏弱 | 尾盘未重新贴近当日低点 | 当日30m结构未明显转强,0.006595,0.325843,0.006595,hold,,watch,近3日内至少2根阴线 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置仍偏弱
